name,categories,subcategories,regions,online_redeem,voucher_min,voucher_max,top_products,url
יקב טוליפ ויקב מאיה,מסעדות וקולינריה|חוויות,יקבים ומבשלות|מסעדות כשרות|יקבים ומבשלות,צפון|חיפה והסביבה,no,1,1001,שובר זוגי מפנק (285); שישיית בקבוקי יין של יקב טוליפ (514); מארז סירה רזרב (155),https://buyme.co.il/supplier/2138453
מתפתחים ביחד עם שלומית שוסטר,סדנאות והעשרה|לגוף ולנפש|תינוקות וילדים,יועצים|העשרה|סדנאות וקורסים|סדנאות והעשרה|ייעוץ וסדנאות להורים,"ת""א והסביבה",no,1,1500,קלפי התפתחות WEEK BY WEEK (345); קורס דיגיטלי מגיל שנה עד שיל שלוש (1190); קורס עזרה ראשונה והחייאה (188),https://buyme.co.il/supplier/10905018
MIMI VAZA - משלוחי פרחים ומארזים,לבית,פרחים וצמחיה,"ת""א והסביבה|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/17573499
מסעדות כרמים,מחבקים מילואימניקים|מסעדות וקולינריה,מסעדות שף,"מודיעין, השפלה והסביבה|הנגב|דרום",no,1,1200,מארז יינות כרמים (360),https://buyme.co.il/supplier/752921
אופטיקה הלפרין,אופנה ושופינג,משקפיים,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/17573889
מגה ספורט,לגוף ולנפש|אופנה ושופינג,ציוד ספורט ואקסטרים|בגדי ילדים ותינוקות|נעליים ותיקים|בגדי ספורט,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/1350797
JAPAN-JAPAN,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,"השרון והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,מארז Combo Party (295); מארז Tokyo Party (399),https://buyme.co.il/supplier/15328449
תחביבן,חוויות|סדנאות והעשרה|תרבות ופנאי,גיפט קארד לחוויות משותפות|סדנאות והעשרה|העשרה,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573982
מנו ספנות,מלונות ונופש,חבילות נופש בארץ ובחול,סניפים בפריסה ארצית,no,1,1500,,https://buyme.co.il/supplier/17573976
Legenda,מסעדות וקולינריה,"קונדיטוריות, קינוחים ומתוקים","ת""א והסביבה|מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה|סניפים בפריסה ארצית",no,1,1500,שתי מנות גלידה קטנות (48); שתי מנות יוגורט קטנות (74); ליטר גלידה (129),https://buyme.co.il/supplier/4916118
אליטל,חדש על המדף|אופנה ושופינג,נעליים ותיקים|בגדי ספורט,"השרון והסביבה|מודיעין, השפלה והסביבה|חיפה והסביבה|אשקלון, אשדוד והסביבה|סניפים בפריסה ארצית",yes,1,1500,,https://buyme.co.il/supplier/17574284
STORY,אופנה ושופינג,בגדי ילדים ותינוקות|נעליים ותיקים,סניפים בפריסה ארצית|מימוש אונליין,yes,,,,https://buyme.co.il/supplier/17573557
רביבה וסיליה,מסעדות וקולינריה,מסעדות ומזון מהיר|בתי קפה,"ת""א והסביבה|מרכז|השרון והסביבה",no,1,1500,ארוחת בוקר זוגית במסעדת רביבה וסיליה (198); ארוחת בוקר זוגית משודרגת ברביבה וסיליה (268),https://buyme.co.il/supplier/1022731
Food Appeal,לבית,כלי בישול ומטבח,"ירושלים והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/15269361
רשת Bגוד,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|בגדי ילדים ותינוקות,"מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/17573425
מלונות ג'ייקוב,מלונות ונופש,מלונות בפריסה ארצית,"ת""א והסביבה|צפון|ירושלים והסביבה|אילת והערבה|סניפים בפריסה ארצית",no,1,1500,חופשה באמצ״ש במגוון מלונות הרשת (700); חבילת לינה וספא במגוון מלונות הרשת (1290),https://buyme.co.il/supplier/17573581
ICONIX,טיפוח ויופי,,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574057
Joya,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|מרכז|צפון|פתח תקווה ובקעת אונו",no,1,1001,,https://buyme.co.il/supplier/349001
GOLBARY,אופנה ושופינג,,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/1217632
ספא גולף קיסריה,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,השרון והסביבה|צפון|חיפה והסביבה,no,1,1500,פינוק לאוהבים (840); חבילה זוגית (1100); חבילה זוגית מפנקת במיוחד (1550),https://buyme.co.il/supplier/5531871
I JUMP,חוויות,גיפט קארד לחוויות משותפות|חוויות אקסטרים,מרכז|צפון|ירושלים והסביבה|חיפה והסביבה,no,1,1001,"שעה של ספורט ובילוי לקטנטנים (45); שעת קפיצה לילדים הגדולים (70); שעה וחצי של אקסטרים, כיף וחוויה (105)",https://buyme.co.il/supplier/2500772
רשת צומת ספרים,סדנאות והעשרה|לגוף ולנפש|תרבות ופנאי,סדנאות והעשרה,"ת""א והסביבה|השרון והסביבה|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|מרכז|צפון|דרום|פתח תקווה ובקעת אונו",no,1,1500,,https://buyme.co.il/supplier/2829100
מסעדת לוצ'נה,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,"דרום|ירושלים והסביבה|אשקלון, אשדוד והסביבה",no,1,1000,בוקר זוגי בפיאצה (160),https://buyme.co.il/supplier/7018171
4Chef,מסעדות וקולינריה|חוויות|סדנאות והעשרה|לגוף ולנפש|לבית,חוויות קולינריות|גיפט קארד לחוויות משותפות|חוויות קולינריות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה|כלי בישול ומטבח,"ת""א והסביבה|השרון והסביבה|מרכז|דרום|מימוש אונליין",yes,1,1500,שובר לסדנת גורמה (430); שובר לסדנה קולינרית (390); שובר לסדנת השף הצעיר (310),https://buyme.co.il/supplier/2712
שופרא,אופנה ושופינג,נעליים ותיקים,"ת""א והסביבה|השרון והסביבה|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/6157697
רשת Homestyle,לבית|תינוקות וילדים,טקסטיל ועיצוב הבית|טקסטיל ועיצוב חדרי ילדים,"ת""א והסביבה|השרון והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/15557052
MINISO,לבית|תינוקות וילדים,טקסטיל ועיצוב הבית|צעצועים|טקסטיל ועיצוב חדרי ילדים,מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה,no,1,1500,,https://buyme.co.il/supplier/9376094
גרג קיטשן,מסעדות וקולינריה,מסעדות ומזון מהיר,"מרכז|ת""א והסביבה|צפון|השרון והסביבה",no,1,1500,,https://buyme.co.il/supplier/17573540
פיצה סטורי,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,סניפים בפריסה ארצית,no,1,1500,,https://buyme.co.il/supplier/17574068
LALUN חופשות בישראל,מלונות ונופש,מלונות יוקרה|מלונות בוטיק|מלונות בפריסה ארצית,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574193
איש שטח,מחבקים מילואימניקים|חוויות|לגוף ולנפש,ציוד ספורט ואקסטרים,"ת""א והסביבה|מרכז|צפון|דרום|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה|אילת והערבה",no,1,1500,,https://buyme.co.il/supplier/9117280
Afrodita,אופנה ושופינג,הלבשה תחתונה,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/17573682
מסעדת TYO,מסעדות וקולינריה,מסעדות שף,"מרכז|ת""א והסביבה",no,1,1001,,https://buyme.co.il/supplier/1173814
ג'ונגל,לבית,חיות מחמד,"ת""א והסביבה|מרכז|צפון|חיפה והסביבה|השרון והסביבה",no,1,1000,,https://buyme.co.il/supplier/7684030
MOBILITY BRANDS,חוויות|לגוף ולנפש,ציוד ספורט ואקסטרים,"מרכז|ת""א והסביבה",no,1,1500,,https://buyme.co.il/supplier/17573928
מלונות אטלס,מלונות ונופש,מלונות בפריסה ארצית,"ת""א והסביבה|ירושלים והסביבה|חיפה והסביבה|אילת והערבה",no,1,1500,לילה וארוחת בוקר זוגית (950); ארוחת בוקר זוגית במלון הבקסטייג' (310); לילה זוגי בתל אביב (1100),https://buyme.co.il/supplier/2349140
פונפוני,לבית|תינוקות וילדים,טקסטיל ועיצוב חדרי ילדים|ריהוט חדרי ילדים,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574078
קפה נאפו,מסעדות וקולינריה,מסעדות ומזון מהיר,מרכז,no,1,1500,,https://buyme.co.il/supplier/17573725
Miss Nori,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|אופנת בוטיק ישראלית|בגדי ילדים ותינוקות,"ת""א והסביבה|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/17573633
SELAS,מסעדות וקולינריה,מסעדות שף,"ת""א והסביבה|מרכז",no,1,1500,,https://buyme.co.il/supplier/12852180
עדה לזורגן,טיפוח ויופי,,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573847
נגינה,חוויות|סדנאות והעשרה|לגוף ולנפש,סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,"מרכז|ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|ירושלים והסביבה|צפון|חיפה והסביבה|דרום|אילת והערבה",no,1,1500,מנוי חצי שנתי -שיעורים דיגיטלים (894); מנוי שנתי- שיעורים דיגיטלים (1188); מנוי תלת חודשי -שיעורים דיגיטלים (597),https://buyme.co.il/supplier/5526247
THE NORTH FACE,אופנה ושופינג,בגדי ילדים ותינוקות|בגדי ספורט,"ת""א והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/3557126
MOBICELL,לבית,חשמל ואלקטרוניקה,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/17573503
אחוזת הספא,ספא וימי כיף|לגוף ולנפש,ספא וימי כיף,"מרכז|מודיעין, השפלה והסביבה|דרום",no,1,1001,,https://buyme.co.il/supplier/321452
פתאל,ספא וימי כיף|מלונות ונופש|לגוף ולנפש,מלונות בפריסה ארצית|ספא וימי כיף,השרון והסביבה|השרון והסביבה|מרכז|צפון|אילת והערבה|אילת והערבה|דרום|סניפים בפריסה ארצית|סניפים בפריסה ארצית|ירושלים והסביבה|חיפה והסביבה|השרון והסביבה|אילת והערבה|סניפים בפריסה ארצית,no,1,1500,ארוחת בוקר זוגית מפנקת (180); יום כיף זוגי במגוון מלונות הרשת (790); חופשה אורבנית | פרימיום (900),https://buyme.co.il/supplier/1286825
מסעדת פדריק,מסעדות וקולינריה,מסעדות ומזון מהיר|מסעדות כשרות,"מרכז|מודיעין, השפלה והסביבה",no,1,1500,,https://buyme.co.il/supplier/4983955
The Black Box,חוויות,גיפט קארד לחוויות משותפות,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573480
השטיח האדום,לבית|תינוקות וילדים,טקסטיל ועיצוב הבית|טקסטיל ועיצוב חדרי ילדים,"השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|מרכז|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/17574136
Frame Sushi Bar | Unniko Sushi,מסעדות וקולינריה,מסעדות ומזון מהיר,"ת""א והסביבה|מרכז",no,1,1500,,https://buyme.co.il/supplier/17573483
Cook and Bake,לבית,כלי בישול ומטבח,"ת""א והסביבה|השרון והסביבה|חיפה והסביבה|מרכז|צפון|פתח תקווה ובקעת אונו",no,1,1500,"100 ש""ח למימוש ברשת קוק אנד בייק (100); 150 ש""ח למימוש ברשת קוק אנד בייק (150); 200 ש""ח למימוש ברשת קוק אנד בייק (200)",https://buyme.co.il/supplier/763591
בוניטה דה מאס,אופנה ושופינג,הלבשה תחתונה,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/1137770
בר איטליה,מסעדות וקולינריה,מסעדות ומזון מהיר,השרון והסביבה|מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573268
המחסן,חוויות|סדנאות והעשרה|לגוף ולנפש,גיפט קארד לחוויות משותפות|סדנאות והעשרה|סדנאות וקורסים|סדנאות והעשרה,"ת""א והסביבה",no,1,1500,,https://buyme.co.il/supplier/17574221
Hotel Lear Sense,מלונות ונופש,מלונות בוטיק,"מרכז|מודיעין, השפלה והסביבה",no,1,1500,אמצע שבוע רומנטי (1250); חבילת פינוק זוגית (860); חבילת עיסוי ופילינג גוף ליחיד (600),https://buyme.co.il/supplier/6728124
PlaySmart,חדש על המדף|תרבות ופנאי|תינוקות וילדים,צעצועים,מרכז|צפון|דרום|מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17574347
Trek Market,לגוף ולנפש,ציוד ספורט ואקסטרים,"ת""א והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/17573539
Sinta Bar,מסעדות וקולינריה,מסעדות שף,צפון|חיפה והסביבה,no,1,1001,,https://buyme.co.il/supplier/790510
GANT,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|בגדי ילדים ותינוקות,"מרכז|ת""א והסביבה|דרום|השרון והסביבה|אילת והערבה|סניפים בפריסה ארצית",no,,,,https://buyme.co.il/supplier/5746403
RONEN CHEN,אופנה ושופינג,,"ת""א והסביבה|השרון והסביבה|מודיעין, השפלה והסביבה|פתח תקווה ובקעת אונו|ירושלים והסביבה|חיפה והסביבה|אילת והערבה|אשקלון, אשדוד והסביבה|מרכז|צפון|דרום|סניפים בפריסה ארצית|מימוש אונליין",yes,1,1500,,https://buyme.co.il/supplier/17573230
גוז' ודניאל - ביסטרו בכפר,מסעדות וקולינריה,מסעדות ומזון מהיר,השרון והסביבה,no,1,1500,ארוחת ערב זוגית (600); קוקטיילים וראשונה בנוף הכפרי (150); ארוחת צהריים זוגית (400),https://buyme.co.il/supplier/1643355
סולתם,לבית,כלי בישול ומטבח,"ת""א והסביבה|חיפה והסביבה|מרכז|צפון|דרום|סניפים בפריסה ארצית|פתח תקווה ובקעת אונו",no,1,1500,,https://buyme.co.il/supplier/339033
סלקשיין,תינוקות וילדים|אופנה ושופינג,בגדי ילדים ותינוקות|בגדי ילדים ותינוקות,"אילת והערבה|אשקלון, אשדוד והסביבה|הנגב|צפון|דרום|סניפים בפריסה ארצית",no,1,1500,,https://buyme.co.il/supplier/17574029
רשת מלונות גרנד הוטלס,מלונות ונופש,מלונות בפריסה ארצית,"ת""א והסביבה|מרכז|דרום|ירושלים והסביבה",no,1,1500,אירוח SUPERIOR - גרנד ביץ' תל אביב (750),https://buyme.co.il/supplier/2473090
ONLY'S BEAUTY,טיפוח ויופי,,מימוש אונליין,yes,1,1500,,https://buyme.co.il/supplier/17573610
